Row,Column,Value
Africa Eastern and Southern,2001,23.18093694
Africa Eastern and Southern,2002,23.57970104
Africa Eastern and Southern,2003,23.96828903
Africa Eastern and Southern,2004,24.35074368
Africa Eastern and Southern,2005,24.80889432
Africa Eastern and Southern,2006,25.2528789
Africa Eastern and Southern,2007,25.67764118
Africa Eastern and Southern,2008,26.15322174
Africa Eastern and Southern,2009,26.63041871
Africa Eastern and Southern,2010,27.10904277
Africa Eastern and Southern,2011,27.20574666
Africa Eastern and Southern,2012,27.68466543
Africa Eastern and Southern,2013,28.16612131
Africa Eastern and Southern,2014,28.648935
Africa Eastern and Southern,2015,29.13428865
Africa Eastern and Southern,2016,29.61840484
Africa Eastern and Southern,2017,30.11459218
Africa Eastern and Southern,2018,30.38475936
Africa Western and Central,2001,22.56992241
Africa Western and Central,2002,23.10687144
Africa Western and Central,2003,23.67574614
Africa Western and Central,2004,24.26270803
Africa Western and Central,2005,24.87771769
Africa Western and Central,2006,25.5085858
Africa Western and Central,2007,26.14946599
Africa Western and Central,2008,26.80154603
Africa Western and Central,2009,27.46875376
Africa Western and Central,2010,28.15050612
Africa Western and Central,2011,28.84639925
Africa Western and Central,2012,29.55628187
Africa Western and Central,2013,30.27880961
Africa Western and Central,2014,31.01207176
Africa Western and Central,2015,31.75343875
Africa Western and Central,2016,32.50633891
Africa Western and Central,2017,33.27097204
Africa Western and Central,2018,33.92166177
East Asia & Pacific,2001,61.47001768
East Asia & Pacific,2002,63.28867278
East Asia & Pacific,2003,64.94647068
East Asia & Pacific,2004,66.58769586
East Asia & Pacific,2005,68.21410558
East Asia & Pacific,2006,69.82143562
East Asia & Pacific,2007,71.45418449
East Asia & Pacific,2008,73.07166153
East Asia & Pacific,2009,74.66755932
East Asia & Pacific,2010,76.2455848
East Asia & Pacific,2011,77.79570578
East Asia & Pacific,2012,79.32685933
East Asia & Pacific,2013,80.84184465
East Asia & Pacific,2014,82.34370012
East Asia & Pacific,2015,83.82942482
East Asia & Pacific,2016,85.29912701
East Asia & Pacific,2017,86.75102974
East Asia & Pacific,2018,88.18722028
Europe & Central Asia,2001,93.09283891
Europe & Central Asia,2002,93.30330435
Europe & Central Asia,2003,93.51104641
Europe & Central Asia,2004,93.72639707
Europe & Central Asia,2005,93.95226121
Europe & Central Asia,2006,94.19293531
Europe & Central Asia,2007,94.43827852
Europe & Central Asia,2008,94.68037279
Europe & Central Asia,2009,94.91498435
Europe & Central Asia,2010,95.1477948
Europe & Central Asia,2011,95.37244408
Europe & Central Asia,2012,95.59999186
Europe & Central Asia,2013,95.82329372
Europe & Central Asia,2014,96.02783739
Europe & Central Asia,2015,96.22467676
Europe & Central Asia,2016,96.40242564
Europe & Central Asia,2017,96.56506856
Europe & Central Asia,2018,96.70589233
Latin America & Caribbean,2001,74.75936862
Latin America & Caribbean,2002,75.52995787
Latin America & Caribbean,2003,76.29356355
Latin America & Caribbean,2004,77.05169946
Latin America & Caribbean,2005,78.5190519
Latin America & Caribbean,2006,79.26734143
Latin America & Caribbean,2007,80.01963315
Latin America & Caribbean,2008,80.76693681
Latin America & Caribbean,2009,81.50238396
Latin America & Caribbean,2010,82.23322072
Latin America & Caribbean,2011,82.96418874
Latin America & Caribbean,2012,83.69178915
Latin America & Caribbean,2013,84.41021178
Latin America & Caribbean,2014,85.12126455
Latin America & Caribbean,2015,85.82504128
Latin America & Caribbean,2016,86.51974009
Latin America & Caribbean,2017,86.54765356
Latin America & Caribbean,2018,87.2175473
Middle East & North Africa,2001,81.94893463
Middle East & North Africa,2002,82.58361346
Middle East & North Africa,2003,83.10319767
Middle East & North Africa,2004,83.6351424
Middle East & North Africa,2005,84.2208623
Middle East & North Africa,2006,84.81063308
Middle East & North Africa,2007,85.40186102
Middle East & North Africa,2008,85.98472173
Middle East & North Africa,2009,86.55361366
Middle East & North Africa,2010,87.10454856
Middle East & North Africa,2011,87.63924018
Middle East & North Africa,2012,88.13961523
Middle East & North Africa,2013,88.63818203
Middle East & North Africa,2014,89.13597889
Middle East & North Africa,2015,89.63213205
Middle East & North Africa,2016,90.13385451
Middle East & North Africa,2017,90.60911865
Middle East & North Africa,2018,91.02743131
North America,2001,99.88042232
North America,2002,99.88024277
North America,2003,99.88006468
North America,2004,99.87988762
North America,2005,99.87426803
North America,2006,99.86864347
North America,2007,99.86306661
North America,2008,99.85745545
North America,2009,99.85178752
North America,2010,99.82823398
North America,2011,99.80493677
North America,2012,99.78182658
North America,2013,99.75899643
North America,2014,99.73649615
North America,2015,99.71442926
North America,2016,99.69249174
North America,2017,99.67078687
North America,2018,99.64921182
Sub-Saharan Africa,2001,22.93307137
Sub-Saharan Africa,2002,23.38778327
Sub-Saharan Africa,2003,23.84948352
Sub-Saharan Africa,2004,24.31497059
Sub-Saharan Africa,2005,24.83687844
Sub-Saharan Africa,2006,25.35692513
Sub-Saharan Africa,2007,25.86976682
Sub-Saharan Africa,2008,26.41739982
Sub-Saharan Africa,2009,26.97221212
Sub-Saharan Africa,2010,27.53380721
Sub-Saharan Africa,2011,27.86764238
Sub-Saharan Africa,2012,28.43974158
Sub-Saharan Africa,2013,29.0184151
Sub-Saharan Africa,2014,29.602237
Sub-Saharan Africa,2015,30.19090299
Sub-Saharan Africa,2016,30.78357424
Sub-Saharan Africa,2017,31.39243214
Sub-Saharan Africa,2018,31.81602391
