Country Name,GDP
Afghanistan,493.76
Albania,5284.38
Algeria,4153.96
American Samoa,11557.67
Andorra,41791.97
Angola,3289.64
Antigua and Barbuda,16673.44
Argentina,11633.5
Armenia,4220.54
Aruba,30253.28
Australia,57354.96
Austria,51453.15
Azerbaijan,4739.84
"Bahamas, The",33767.94
Bahrain,23991.04
Bangladesh,1698.13
Barbados,17745.26
Belarus,6330.08
Belgium,47554.75
Belize,5001.42
Benin,1240.83
Bermuda,113023.19
Bhutan,3243.48
Bolivia,3548.59
Bosnia and Herzegovina,6072.18
Botswana,8279.82
Brazil,9151.45
British Virgin Islands,..
Brunei Darussalam,31628.48
Bulgaria,9427.73
Burkina Faso,813.1
Burundi,271.75
Cabo Verde,3617.35
Cambodia,1512.13
Cameroon,1534.49
Canada,46454.74
Cayman Islands,86059.74
Central African Rep.,475.95
Chad,726.15
Channel Islands,..
Chile,15888.14
China,9976.68
Colombia,6729.58
Comoros,1415.96
Dem. Rep. Congo,557.06
Congo,2601.41
Costa Rica,12468.58
Cote d'Ivoire,2314.05
Croatia,15014.09
Cuba,8824.19
Curacao,19630.89
Cyprus,29089.47
Czech Republic,23419.74
Denmark,61598.54
Djibouti,3141.88
Dominica,7693.77
Dominican Republic,8050.64
Ecuador,6295.93
Egypt,2537.13
El Salvador,4052.62
Equatorial Guinea,10005.62
Eritrea,..
Estonia,23159.39
Eswatini,4105.9
Ethiopia,771.52
Faroe Islands,62918.15
Fiji,6317.44
Finland,50013.29
France,41526.41
French Polynesia,..
Gabon,7956.63
"Gambia, The",732.72
Georgia,4722.79
Germany,47787.16
Ghana,2194.23
Gibraltar,..
Greece,19766
Greenland,54470.96
Grenada,10486.38
Guam,36502.38
Guatemala,4478.42
Guinea,955.11
Guinea-Bissau,802.77
Guyana,6145.82
Haiti,1435.35
Honduras,2510.32
"Hong Kong SAR, China",48542.68
Hungary,16411.44
Iceland,74348.36
India,1996.92
Indonesia,3893.86
Iran,3598.48
Iraq,5523.08
Ireland,79297.73
Isle of Man,89112.67
Israel,41704.83
Italy,34608.68
Jamaica,5359.99
Japan,39159.42
Jordan,4308.15
Kazakhstan,9812.63
Kenya,1708
Kiribati,1698.33
North Korea,..
South Korea,33422.94
Kosovo,4419.91
Kuwait,33399.06
Kyrgyz Republic,1308.14
Lao PDR,2542.49
Latvia,17849.56
Lebanon,8012.54
Lesotho,1192.48
Liberia,677.32
Libya,7877.12
Liechtenstein,180366.72
Lithuania,19166.81
Luxembourg,116597.3
"Macao SAR, China",87554.71
Madagascar,518.4
Malawi,535.35
Malaysia,11377.65
Maldives,10276.77
Mali,894.8
Malta,30672.29
Marshall Islands,3793.55
Mauritania,1601.29
Mauritius,11208.33
Mexico,9686.51
"Micronesia, Fed. Sts.",3568.29
Moldova,4230.36
Monaco,185978.61
Mongolia,4134.98
Montenegro,8850.09
Morocco,3226.98
Mozambique,503.32
Myanmar,1279.09
Namibia,5587.99
Nauru,11614.67
Nepal,1178.53
Netherlands,53018.63
New Caledonia,..
New Zealand,43306.07
Nicaragua,2014.57
Niger,572.43
Nigeria,2027.78
North Macedonia,6087.47
Northern Mariana Islands,22886.67
Norway,82267.81
Oman,16521.21
Pakistan,1482.21
Palau,15657.18
Panama,15544.73
Papua New Guinea,2801.37
Paraguay,5782.78
Peru,6957.79
Philippines,3252.11
Poland,15468.41
Portugal,23551.05
Puerto Rico,31604.7
Qatar,65907.95
Romania,12398.98
Russia,11287.36
Rwanda,783.64
Samoa,4188.57
San Marino,48996.59
Sao Tome and Principe,1953.51
Saudi Arabia,23337.02
Senegal,1458.07
Serbia,7252.4
Seychelles,16390.82
Sierra Leone,533.99
Singapore,66679.05
Sint Maarten (Dutch part),29160.1
Slovak Republic,19364.62
Slovenia,26103.16
Solomon Islands,2411.86
Somalia,314.54
South Africa,6372.61
S. Sudan,..
Spain,30374.52
Sri Lanka,4058.8
St. Kitts and Nevis,19276.52
St. Lucia,11357.83
St. Martin (French part),..
St. Vincent and the Grenadines,7361.4
Sudan,825.87
Suriname,6938.09
Sweden,54589.06
Switzerland,86429.5
Syria,..
Tajikistan,853.22
Tanzania,1042.84
Thailand,7296.88
Timor-Leste,1230.23
Togo,901.52
Tonga,4740.7
Trinidad and Tobago,17037.86
Tunisia,3438.81
Turkey,9453.2
Turkmenistan,6967.38
Turks and Caicos Islands,29553.14
Tuvalu,3701.71
Uganda,770.26
Ukraine,3096.82
United Arab Emirates,43839.32
United Kingdom,42992.8
United States of America,63064.42
Uruguay,18703.86
Uzbekistan,1529.08
Vanuatu,3125.4
Venezuela,..
Vietnam,2566.45
Virgin Islands (U.S.),37233.3
West Bank and Gaza,3562.33
Yemen,824.12
Zambia,1516.37
Zimbabwe,1352.16
